index,prediction,cleaned_index,Label,self_auth,self_class,self_deg,self_betcent,pred_betcent,pred_auth,pred_deg,pred_class,from_textid,emo?
loved_2,"['loved', 'enjoyed', 'love', 'liked', 'adored']",loved,loved,9.70E-05,18,6,0,"[0.0, -1, 57973.51769400001, -1, -1]","[9.7e-05, -1, 0.000218, -1, -1]","[6, -1, 84, -1, -1]","[18, -1, 18, -1, -1]",9,
movie_4,"['because', 'and']",movie,movie,1.00E-05,24,6,3307.571201,"[-1, 10269.734985]","[-1, 0.000116]","[-1, 10]","[-1, 8]",9,
met_7,"['my', 'all', 'the', 'our', 'your']",met,met,0.001193,12,7,0,"[-1, 0.0, -1, -1, -1]","[-1, 0.0006259999999999999, -1, -1, -1]","[-1, 90, -1, -1, -1]","[-1, 5, -1, -1, -1]",9,
expectations_9,"['and', 'but', 'that', 'or']",expectations,,,,,,"[10269.734985, 6263.708295, 44742.323750999996, 169919.92729700002]","[0.000116, 8.6e-05, 0.01506, 0.0021920000000000004]","[10, 26, 155, 97]","[8, 18, 25, 9]",9,
went_11,"['beyond', 'with', 'like', 'for', 'from']",went,went,0.000157,9,120,178437.876,"[157720.96057999998, 11410.484317, 319.952647, 0.0, 0.0]","[4.9e-05, 0.000332, 0.000739, 0.000251, 9.6e-05]","[14, 48, 154, 58, 11]","[9, 9, 3, 14, 9]",9,
loved_16,"['characters', 'story', 'atmosphere', 'script', 'music']",loved,loved,9.70E-05,18,6,0,"[-1, 499.947545, 0.0, -1, -1]","[-1, 0.000131, 7e-05, -1, -1]","[-1, 68, 9, -1, -1]","[-1, 0, 9, -1, -1]",9,
humor_18,"['the', 'that', 'a', 'this', 'its']",humor,humor,9.70E-05,24,40,12088.108,"[-1, 44742.323750999996, -1, -1, -1]","[-1, 0.01506, -1, -1, -1]","[-1, 155, -1, -1, -1]","[-1, 25, -1, -1, -1]",9,
way_21,"['dialogue', 'story', 'action', 'plot', 'movie']",way,way,0.016628,25,266,0,"[0.0, 499.947545, 23449.4279, 0.0, 3307.571201]","[8e-06, 0.000131, 0.000116, 6.500000000000001e-05, 1e-05]","[7, 68, 39, 40, 6]","[0, 0, 6, 3, 24]",9,
movie_23,"['so', 'just', 'even', 'exactly', 'being']",movie,movie,1.00E-05,24,6,3307.571201,"[2087.67817, 0.0, 0.0, 62.2058, 0.0]","[0.015486000000000003, 0.003158, 0.0007469999999999999, 0.000793, 0.000651]","[222, 168, 106, 83, 125]","[25, 18, 5, 5, 3]",9,
randomly_27,"['also', 'just', 'definitely', 'even', 'all']",randomly,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.000391, 0.003158, 0.000491, 0.0007469999999999999, 0.0006259999999999999]","[33, 168, 43, 106, 90]","[9, 18, 21, 5, 5]",9,
silly_28,"['had', 'sent', 'carried', 'left', 'got']",silly,silly,0.001007,10,47,0,"[-1, -1, -1, -1, 149.284191]","[-1, -1, -1, -1, 0.001297]","[-1, -1, -1, -1, 20]","[-1, -1, -1, -1, 9]",9,
message_34,"['me', 'you', 'people', 'us', 'everyone']",message,,,,,,"[-1, -1, 6685.643157, -1, -1]","[-1, -1, 0.000193, -1, -1]","[-1, -1, 67, -1, -1]","[-1, -1, 3, -1, -1]",9,
